QuarterSinceLaunch,CurrentND,CurrentWD,PreviousND,PreviousWD,NDGrowth,WDGrowth,AccessGap,TotalGenericPrescriptions,TotalClassPrescriptions,AdoptionClass
1,0,0,0,0,0,0,0,0,905576,Slow
2,0,0,0,0,0,0,0,0,931917,Slow
3,0,0,0,0,0,0,0,0,1045866,Slow
1,0,0,0,0,0,0,0,0,36176,Slow
2,0,0,0,0,0,0,0,0,36005,Slow
3,0,0,0,0,0,0,0,0,42203,Slow
1,98.03921569,99.98969092,0,0,98.03921569,99.98969092,1.950475236,336216,358907,Fast
2,100,100,98.03921569,99.98969092,1.960784314,0.010309077,0,335031,348121,Fast
3,100,100,100,100,0,0,0,314158,324884,Fast
1,0,0,0,0,0,0,0,0,167629,Slow
2,0,0,0,0,0,0,0,0,134982,Slow
3,0,0,0,0,0,0,0,0,133993,Slow
1,0,0,0,0,0,0,0,0,34775,Slow
2,0,0,0,0,0,0,0,0,34661,Slow
3,0,0,0,0,0,0,0,0,34418,Slow
1,7.692307692,67.26478031,0,0,7.692307692,67.26478031,59.57247262,95,4347,Fast
2,87.5,92.84627093,7.692307692,67.26478031,79.80769231,25.58149062,5.346270928,1757,3942,Fast
3,87.5,92.51112857,87.5,92.84627093,0,-0.335142361,5.011128568,2075,3819,Fast
1,0,0,0,0,0,0,0,0,6797,Fast
2,0,0,0,0,0,0,0,0,5436,Fast
3,57.14285714,78.41409692,0,0,57.14285714,78.41409692,21.27123977,209,681,Fast
1,100,100,0,0,100,100,0,891,891,Fast
2,100,100,100,100,0,0,0,624,624,Fast
3,100,100,100,100,0,0,0,586,586,Fast
1,0,0,0,0,0,0,0,0,2522,Slow
2,0,0,0,0,0,0,0,0,2426,Slow
3,0,0,0,0,0,0,0,0,2803,Slow
1,0,0,0,0,0,0,0,0,9212,Slow
2,0,0,0,0,0,0,0,0,8887,Slow
3,0,0,0,0,0,0,0,0,8736,Slow
1,11.9047619,60.76411247,0,0,11.9047619,60.76411247,48.85935057,270,13977,Fast
2,82.22222222,97.16312057,11.9047619,60.76411247,70.31746032,36.3990081,14.94089835,8606,18189,Fast
3,90.90909091,99.21793038,82.22222222,97.16312057,8.686868687,2.054809809,8.308839468,13011,20970,Fast
1,100,100,0,0,100,100,0,122785,147723,Fast
2,100,100,100,100,0,0,0,119065,144244,Fast
3,100,100,100,100,0,0,0,123714,138653,Fast
1,100,100,0,0,100,100,0,262,262,Fast
2,100,100,100,100,0,0,0,201,201,Fast
3,100,100,100,100,0,0,0,170,170,Fast
1,100,100,0,0,100,100,0,54364,54418,Fast
2,100,100,100,100,0,0,0,44250,44269,Fast
3,100,100,100,100,0,0,0,41041,41041,Fast
1,100,100,0,0,100,100,0,6802833,6804748,Fast
2,100,100,100,100,0,0,0,6794749,6795677,Fast
3,100,100,100,100,0,0,0,6352903,6353664,Fast
1,100,100,0,0,100,100,0,22235,24619,Fast
2,100,100,100,100,0,0,0,26597,28405,Fast
3,100,100,100,100,0,0,0,28996,30307,Fast
1,0,0,0,0,0,0,0,0,16475,Slow
2,0,0,0,0,0,0,0,0,14959,Slow
3,0,0,0,0,0,0,0,0,16185,Slow
1,5.769230769,54.13398869,0,0,5.769230769,54.13398869,48.36475792,949,306399,Fast
2,90.38461538,95.83049104,5.769230769,54.13398869,84.61538462,41.69650235,5.445875658,107914,285861,Fast
3,94.23076923,99.16597447,90.38461538,95.83049104,3.846153846,3.335483428,4.93520524,185230,294955,Fast
1,100,100,0,0,100,100,0,55786,69635,Fast
2,97.82608696,99.08404334,100,100,-2.173913043,-0.915956656,1.257956387,52033,57863,Fast
3,100,100,97.82608696,99.08404334,2.173913043,0.915956656,0,49039,52983,Fast
1,100,100,0,0,100,100,0,4181683,4202830,Fast
2,100,100,100,100,0,0,0,4294610,4314901,Fast
3,100,100,100,100,0,0,0,4461121,4481507,Fast
1,0,0,0,0,0,0,0,0,1018,Slow
2,0,0,0,0,0,0,0,0,749,Slow
3,0,0,0,0,0,0,0,0,620,Slow
1,0,0,0,0,0,0,0,0,64643,Slow
2,0,0,0,0,0,0,0,0,56481,Slow
3,0,0,0,0,0,0,0,0,56461,Slow
1,0,0,0,0,0,0,0,0,239835,Slow
2,0,0,0,0,0,0,0,0,249561,Slow
3,0,0,0,0,0,0,0,0,258755,Slow
1,0,0,0,0,0,0,0,0,121837,Slow
