QuarterSinceLaunch,CurrentND,CurrentWD,PreviousND,PreviousWD,NDGrowth,WDGrowth,AccessGap,TotalGenericPrescriptions,TotalClassPrescriptions,AdoptionClass
2,33.33333333,72.44897959,0,0,33.33333333,72.44897959,39.11564626,42,392,Medium
3,55.55555556,81.38297872,33.33333333,72.44897959,22.22222222,8.933999132,25.82742317,259,564,Medium
1,100,100,0,0,100,100,0,21707,22005,Fast
2,100,100,100,100,0,0,0,23019,23211,Fast
3,100,100,100,100,0,0,0,24472,24704,Fast
1,86.20689655,91.32649771,0,0,86.20689655,91.32649771,5.119601159,6144,46521,Fast
2,77.41935484,92.37410072,86.20689655,91.32649771,-8.787541713,1.047603009,14.95474588,5523,36140,Fast
3,75.86206897,86.92414087,77.41935484,92.37410072,-1.557285873,-5.449959853,11.0620719,5152,28197,Fast
1,100,100,0,0,100,100,0,60501,60537,Fast
2,100,100,100,100,0,0,0,57802,57832,Fast
3,100,100,100,100,0,0,0,59399,59412,Fast
1,0,0,0,0,0,0,0,0,56880,Slow
2,0,0,0,0,0,0,0,0,64894,Slow
3,0,0,0,0,0,0,0,0,81915,Slow
1,100,100,0,0,100,100,0,710778,1007018,Fast
2,100,100,100,100,0,0,0,675564,784442,Fast
3,100,100,100,100,0,0,0,645199,729708,Fast
1,82.69230769,94.11071931,0,0,82.69230769,94.11071931,11.41841162,41623,143498,Fast
2,96.15384615,99.55047396,82.69230769,94.11071931,13.46153846,5.439754644,3.396627803,96971,153495,Fast
3,100,100,96.15384615,99.55047396,3.846153846,0.449526043,0,114330,151289,Fast
1,82.69230769,94.11071931,0,0,82.69230769,94.11071931,11.41841162,41623,143498,Fast
2,96.15384615,99.55047396,82.69230769,94.11071931,13.46153846,5.439754644,3.396627803,96971,153495,Fast
3,100,100,96.15384615,99.55047396,3.846153846,0.449526043,0,114330,151289,Fast
1,100,100,0,0,100,100,0,57,57,Fast
2,100,100,100,100,0,0,0,63,63,Fast
3,100,100,100,100,0,0,0,124,124,Fast
